First Semester  Year 20201 Status Active,Unnamed: 0,Regular Major,Information Sy,Unnamed: 1,First Semester  Year 20211 Status Active,Unnamed: 2,Regular Major.1,Information Sy.1,Unnamed: 3,Second Semester  Year 20202 Status Active,Unnamed: 4,Unnamed: 5,Unnamed: 6,course code,course name,Grade Hrs,Pts,Second Semester  Year 20212 Status Active,First Semester  Year 20221 Status Active,First Semester  Year 20231 Status Active,Second Semester  Year 20232 Status Active,Second Semester  Year 20222 Status Active,Third semester  Year 20233 Status Active,First Semester  Year 20241 Status Active,Summer Semester  Year 20235 Status Active,Second Semester  Year 20242 Status Active,Third semester  Year 20243,Status Active
,231COMP-3Operating System,,A+ 3,,,,,,B 3,,12,,15,,,,,,,,324COMP-3Computer Data Security & Privacy,,,,,,,
,231INFS-3System Analysis & Design 1,,A 3,,,,,,A 3,,14.25,,14.25,,,,,,,,342INFS-3E-Business,,,,,,,
,241COMP-3Artificial Intelligence,,,,,,,,A 3,,14.25,,,,,,,,,,,,,,,,,
,,QPTS,GPA,,,,,,,,,,,,,,,,,,Hrs AHRS EHRS QHRS,,,,,,,
,241INFS-3Internet Technology,,,,,,,,A+ 3,,15,,,,,,,,,,,,,,,,,
,,57.75,4.81,,,,,,,,,,,,,,,,,,Current  12.00  12.00  12.00,,,,,,,
,Hrs AHRS EHRS,517.25,4.62,QHRS,,QPTS,,,GPA,,,,,,,,,,,,Cumulative  112.00  112.00  112.00,,,,,,,
,Current  15.00  15.00,,,15.00,,70.50,,,4.70,,,,,,,,,,,,,,,,,,,
,,,Grade Hrs,Pts,,,,,,,,,,316INFS-3,Decision Support Systems,B+ 3,13.5,,,,,course code course name,,,,,,
,,,A+ 3,15,,,,,,,,,,323INFS-3,Data Warehousing & Data Mining,A+ 3,15.0,,,,,222INFS-3Database Systems 2,,,,,,
,,,B 3,12,,,,,,,,,,324COMP-3,Computer Data Security & Privacy,A+ 3,15.0,,,,,231COMP-3Operating System,,,,,,
,,,A 3,14.25,,,,,,,,,,342INFS-3,E-Business,A 3,14.25,,,,,231INFS-3System Analysis & Design 1,,,,,,
,,,A 3,14.25,,,,,,,,,,,,,,,,,,241COMP-3Artificial Intelligence,,,,,,
,,,,,,QPTS,,,,,,,,Hrs,AHRS EHRS QHRS,GPA,,,,,,,,,,,,
,,,A+ 3,15,,,,,,,,,,,,,,,,,,241INFS-3Internet Technology,,,,,,
,,,,,,57.75,,,,,,,,Current,12.00  12.00  12.00,4.81,,,,,,,,,,,,
,QHRS,QPTS,GPA,,,517.25,,,,,,,,Cumulative,112.00  112.00  112.00,4.62,,,,,,Hrs AHRS EHRS,,,,,,
,15.00,70.50,4.70,,,,,,,,,,,,,,,,,,,Current  15.00  15.00,,,,,,
,88.00,400.25,4.55,,,,,,,,,,,,,,,,,,,Cumulative  88.00  88.00,,,,,,
,,,Grade Hrs,Pts,,,,Grade Hrs,Pts,,,,,,,,,,,,,,course code course name,course code course name,,,,
,,,A+ 3,15,,,,A+ 3,15,,,,,,,,,,,,,,334INFS-3Software Engineering,415INFS-3Information Systems Control & Audit,,,,
,,,A 3,14.25,,,,A+ 3,15,,,,,,,,,,,,,,336INFS-3Human Computer Interaction,451INFS-3Technical Report Writing,,,,
,,,B+ 3,13.5,,,,A+ 3,15,,,,,,,,,,,,,,443INFS-3Multimedia Applications,452INFS-3Computer Ethics & Society,,,,
,QHRS,QPTS,GPA,,,,QPTS,GPA,,,,,,,,,,,,,,,Hrs AHRS EHRS,Hrs AHRS EHRS QHRS,,,,
,9.00,42.75,4.75,,,,45.00,5.00,,,,,,,,,,,,,,,Current  9.00  9.00,Current  9.00  9.00  9.00,,,,
,121.00,560.00,4.63,,,,620.00,4.66,,,,,,,,,,,,,,,Cumulative  121.00  121.00,Cumulative  133.00  133.00  133.00,,,,
,,,Grade Hrs,Pts,,,,Grade Hrs,Pts,,,,,,,,,,,,,,,,course code course name,course code course name,,
,,,A+ 3,15,,,,B 3,12,,,,,,,,,,,,,,,,390INFS-3Summer Training,433INFS-3Software Project Management,,
,,,,,,,,B+ 3,13.5,,,,,,,,,,,,,,,,,435INFS-3Software Quality Assurance,,
,QHRS,QPTS,GPA,,,,,,,,,,,,,,,,,,,,,,Hrs AHRS EHRS,,,
,,,,,,,,A+ 3,15,,,,,,,,,,,,,,,,,OO4INFS-3Elective 2,,
,3.00,15.00,5.00,,,,,,,,,,,,,,,,,,,,,,Current  3.00  3.00,,,
,124.00,575.00,4.64,,,QHRS,QPTS,GPA,,,,,,,,,,,,,,,,,Cumulative  124.00  124.00,Hrs AHRS EHRS,,
